episode,reward,length,loss,timestep
389,172.0,173,42.23296356201172,55074
390,299.0,300,74.74777221679688,55374
391,83.0,84,74.74777221679688,55458
392,121.0,122,74.74777221679688,55580
393,149.0,150,74.74777221679688,55730
394,170.0,171,74.74777221679688,55901
395,173.0,174,74.74777221679688,56075
396,146.0,147,74.74777221679688,56222
397,298.0,299,74.74777221679688,56521
398,87.0,88,74.74777221679688,56609
399,297.0,298,74.74777221679688,56907
400,169.0,170,74.74777221679688,57077
401,85.0,86,74.74777221679688,57163
402,86.0,87,74.74777221679688,57250
403,54.0,55,74.74777221679688,57305
404,125.0,126,77.05638885498047,57431
405,168.0,169,77.05638885498047,57600
406,147.0,148,77.05638885498047,57748
407,169.0,170,77.05638885498047,57918
408,145.0,146,77.05638885498047,58064
409,125.0,126,77.05638885498047,58190
410,176.0,177,77.05638885498047,58367
411,145.0,146,77.05638885498047,58513
412,145.0,146,77.05638885498047,58659
413,125.0,126,77.05638885498047,58785
414,126.0,127,77.05638885498047,58912
415,54.0,55,77.05638885498047,58967
416,145.0,146,77.05638885498047,59113
417,145.0,146,77.05638885498047,59259
418,200.0,201,41.517417907714844,59460
419,87.0,88,41.517417907714844,59548
420,87.0,88,41.517417907714844,59636
421,176.0,177,41.517417907714844,59813
422,124.0,125,41.517417907714844,59938
423,83.0,84,41.517417907714844,60022
424,299.0,300,41.517417907714844,60322
425,129.0,130,41.517417907714844,60452
426,145.0,146,41.517417907714844,60598
427,130.0,131,41.517417907714844,60729
428,173.0,174,41.517417907714844,60903
429,125.0,126,41.517417907714844,61029
430,122.0,123,41.517417907714844,61152
431,176.0,177,41.517417907714844,61329
432,145.0,146,84.49603271484375,61475
433,200.0,201,84.49603271484375,61676
434,127.0,128,84.49603271484375,61804
435,123.0,124,84.49603271484375,61928
436,83.0,84,84.49603271484375,62012
437,88.0,89,84.49603271484375,62101
438,174.0,175,84.49603271484375,62276
439,85.0,86,84.49603271484375,62362
440,132.0,133,84.49603271484375,62495
441,126.0,127,84.49603271484375,62622
442,172.0,173,84.49603271484375,62795
443,147.0,148,84.49603271484375,62943
444,174.0,175,84.49603271484375,63118
445,172.0,173,84.49603271484375,63291
446,176.0,177,84.49603271484375,63468
447,230.0,231,54.59775924682617,63699
448,300.0,301,54.59775924682617,64000
449,129.0,130,54.59775924682617,64130
450,171.0,172,54.59775924682617,64302
451,128.0,129,54.59775924682617,64431
452,175.0,176,54.59775924682617,64607
453,127.0,128,54.59775924682617,64735
454,145.0,146,54.59775924682617,64881
455,176.0,177,54.59775924682617,65058
456,170.0,171,54.59775924682617,65229
457,176.0,177,54.59775924682617,65406
458,230.0,231,101.10195922851562,65637
459,146.0,147,101.10195922851562,65784
460,123.0,124,101.10195922851562,65908
461,145.0,146,101.10195922851562,66054
462,124.0,125,101.10195922851562,66179
463,70.0,71,101.10195922851562,66250
464,145.0,146,101.10195922851562,66396
465,193.0,194,101.10195922851562,66590
466,133.0,134,101.10195922851562,66724
467,147.0,148,101.10195922851562,66872
468,167.0,168,101.10195922851562,67040
469,125.0,126,101.10195922851562,67166
470,145.0,146,101.10195922851562,67312
471,128.0,129,101.10195922851562,67441
472,175.0,176,73.82637786865234,67617
473,134.0,135,73.82637786865234,67752
474,131.0,132,73.82637786865234,67884
475,130.0,131,73.82637786865234,68015
476,128.0,129,73.82637786865234,68144
477,174.0,175,73.82637786865234,68319
478,176.0,177,73.82637786865234,68496
479,64.0,65,73.82637786865234,68561
480,64.0,65,73.82637786865234,68626
481,127.0,128,73.82637786865234,68754
482,54.0,55,73.82637786865234,68809
483,145.0,146,73.82637786865234,68955
484,54.0,55,73.82637786865234,69010
485,300.0,301,73.82637786865234,69311
486,300.0,301,73.82637786865234,69612
487,299.0,300,69.11216735839844,69912
488,134.0,135,69.11216735839844,70047
489,54.0,55,69.11216735839844,70102
490,304.0,305,69.11216735839844,70407
491,176.0,177,69.11216735839844,70584
492,120.0,121,69.11216735839844,70705
493,176.0,177,69.11216735839844,70882
494,145.0,146,69.11216735839844,71028
495,176.0,177,69.11216735839844,71205
496,176.0,177,69.11216735839844,71382
497,175.0,176,69.11216735839844,71558
498,170.0,171,84.36930847167969,71729
499,130.0,131,84.36930847167969,71860
500,177.0,178,84.36930847167969,72038
501,133.0,134,84.36930847167969,72172
502,171.0,172,84.36930847167969,72344
503,78.0,79,84.36930847167969,72423
504,288.0,289,84.36930847167969,72712
505,177.0,178,84.36930847167969,72890
506,300.0,301,84.36930847167969,73191
507,146.0,147,84.36930847167969,73338
508,170.0,171,84.36930847167969,73509
509,174.0,175,84.36930847167969,73684
510,298.0,299,76.08969116210938,73983
511,177.0,178,76.08969116210938,74161
512,85.0,86,76.08969116210938,74247
513,123.0,124,76.08969116210938,74371
514,173.0,174,76.08969116210938,74545
515,134.0,135,76.08969116210938,74680
516,56.0,57,76.08969116210938,74737
517,191.0,192,76.08969116210938,74929
518,230.0,231,76.08969116210938,75160
519,286.0,287,76.08969116210938,75447
520,176.0,177,76.08969116210938,75624
521,134.0,135,76.08969116210938,75759
522,70.0,71,57.221946716308594,75830
523,173.0,174,57.221946716308594,76004
524,145.0,146,57.221946716308594,76150
525,54.0,55,57.221946716308594,76205
526,85.0,86,57.221946716308594,76291
527,145.0,146,57.221946716308594,76437
528,145.0,146,57.221946716308594,76583
529,131.0,132,57.221946716308594,76715
530,145.0,146,57.221946716308594,76861
531,172.0,173,57.221946716308594,77034
532,176.0,177,57.221946716308594,77211
533,134.0,135,57.221946716308594,77346
534,145.0,146,57.221946716308594,77492
535,177.0,178,57.221946716308594,77670
536,85.0,86,57.221946716308594,77756
537,55.0,56,57.221946716308594,77812
538,176.0,177,80.03666687011719,77989
539,145.0,146,80.03666687011719,78135
540,147.0,148,80.03666687011719,78283
541,300.0,301,80.03666687011719,78584
542,300.0,301,80.03666687011719,78885
543,127.0,128,80.03666687011719,79013
544,145.0,146,80.03666687011719,79159
545,145.0,146,80.03666687011719,79305
546,88.0,89,80.03666687011719,79394
547,173.0,174,80.03666687011719,79568
548,147.0,148,80.03666687011719,79716
549,145.0,146,80.03666687011719,79862
550,125.0,126,70.83277130126953,79988
551,132.0,133,70.83277130126953,80121
552,173.0,174,70.83277130126953,80295
553,194.0,195,70.83277130126953,80490
554,172.0,173,70.83277130126953,80663
555,177.0,178,70.83277130126953,80841
556,175.0,176,70.83277130126953,81017
557,85.0,86,70.83277130126953,81103
558,169.0,170,70.83277130126953,81273
559,170.0,171,70.83277130126953,81444
560,145.0,146,70.83277130126953,81590
561,176.0,177,70.83277130126953,81767
562,145.0,146,70.83277130126953,81913
563,146.0,147,29.364524841308594,82060
564,176.0,177,29.364524841308594,82237
565,125.0,126,29.364524841308594,82363
566,173.0,174,29.364524841308594,82537
567,172.0,173,29.364524841308594,82710
568,129.0,130,29.364524841308594,82840
569,219.0,220,29.364524841308594,83060
570,83.0,84,29.364524841308594,83144
571,145.0,146,29.364524841308594,83290
572,122.0,123,29.364524841308594,83413
573,176.0,177,29.364524841308594,83590
574,171.0,172,29.364524841308594,83762
575,176.0,177,29.364524841308594,83939
576,133.0,134,36.42213821411133,84073
577,85.0,86,36.42213821411133,84159
578,145.0,146,36.42213821411133,84305
579,133.0,134,36.42213821411133,84439
580,145.0,146,36.42213821411133,84585
581,145.0,146,36.42213821411133,84731
582,131.0,132,36.42213821411133,84863
583,85.0,86,36.42213821411133,84949
584,175.0,176,36.42213821411133,85125
585,181.0,182,36.42213821411133,85307
586,129.0,130,36.42213821411133,85437
587,134.0,135,36.42213821411133,85572
588,85.0,86,36.42213821411133,85658
589,132.0,133,36.42213821411133,85791
590,132.0,133,36.42213821411133,85924
591,86.0,87,36.42213821411133,86011
592,286.0,287,58.4073371887207,86298
593,83.0,84,58.4073371887207,86382
594,145.0,146,58.4073371887207,86528
595,148.0,149,58.4073371887207,86677
596,54.0,55,58.4073371887207,86732
597,134.0,135,58.4073371887207,86867
598,169.0,170,58.4073371887207,87037
599,176.0,177,58.4073371887207,87214
600,145.0,146,58.4073371887207,87360
601,147.0,148,58.4073371887207,87508
602,192.0,193,58.4073371887207,87701
603,145.0,146,58.4073371887207,87847
604,145.0,146,58.4073371887207,87993
605,145.0,146,55.69701385498047,88139
606,85.0,86,55.69701385498047,88225
607,130.0,131,55.69701385498047,88356
608,129.0,130,55.69701385498047,88486
609,85.0,86,55.69701385498047,88572
610,176.0,177,55.69701385498047,88749
611,176.0,177,55.69701385498047,88926
612,169.0,170,55.69701385498047,89096
613,289.0,290,55.69701385498047,89386
614,148.0,149,55.69701385498047,89535
615,145.0,146,55.69701385498047,89681
616,84.0,85,55.69701385498047,89766
617,145.0,146,55.69701385498047,89912
618,85.0,86,55.69701385498047,89998
619,83.0,84,55.69701385498047,90082
620,145.0,146,87.5190658569336,90228
621,219.0,220,87.5190658569336,90448
622,174.0,175,87.5190658569336,90623
623,289.0,290,87.5190658569336,90913
624,145.0,146,87.5190658569336,91059
625,132.0,133,87.5190658569336,91192
626,173.0,174,87.5190658569336,91366
627,177.0,178,87.5190658569336,91544
628,170.0,171,87.5190658569336,91715
629,124.0,125,87.5190658569336,91840
630,177.0,178,87.5190658569336,92018
631,146.0,147,82.61309814453125,92165
632,176.0,177,82.61309814453125,92342
633,176.0,177,82.61309814453125,92519
634,70.0,71,82.61309814453125,92590
635,145.0,146,82.61309814453125,92736
636,47.0,48,82.61309814453125,92784
637,133.0,134,82.61309814453125,92918
638,324.0,325,82.61309814453125,93243
639,169.0,170,82.61309814453125,93413
640,147.0,148,82.61309814453125,93561
641,70.0,71,82.61309814453125,93632
